$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    13.757,    6.06,
    13.778,    6.06,
    13.799,    6.05,
    13.820,    6.05,
    13.841,    6.04,
    13.862,    6.04,
    13.883,    6.03,
    13.904,    6.02,
    13.925,    6.01,
    13.946,    6.01,
    13.967,    6.00,
    13.988,    5.99,
    14.009,    5.99,
    14.030,    5.99,
    14.051,    5.98,
    14.072,    5.96,
    14.093,    5.94,
    14.114,    5.93,
    14.135,    5.91,
    14.156,    5.89,
    14.177,    5.87,
    14.198,    5.85,
    14.219,    5.83,
    14.240,    5.81,
    14.261,    5.80,
    14.282,    5.78,
    14.303,    5.76,
    14.324,    5.74,
    14.345,    5.72,
    14.366,    5.70,
    14.387,    5.69,
    14.408,    5.68,
    14.429,    5.67,
    14.450,    5.67,
    14.471,    5.66,
    14.492,    5.66,
    14.513,    5.66,
    14.534,    5.66,
    14.555,    5.66,
    14.576,    5.67,
    14.597,    5.68,
    14.618,    5.68,
    14.639,    5.68,
    14.660,    5.68,
    14.681,    5.68,
    14.702,    5.68,
    14.723,    5.68,
    14.744,    5.67,
    14.765,    5.66,
    14.786,    5.64,
    14.807,    5.63,
    14.828,    5.62,
    14.849,    5.60,
    14.870,    5.58,
    14.891,    5.55,
    14.912,    5.51,
    14.933,    5.48,
    14.954,    5.46,
    14.975,    5.44,
    14.996,    5.43,
    15.017,    5.41,
    15.038,    5.39,
    15.059,    5.38,
    15.080,    5.36,
    15.101,    5.34,
    15.122,    5.32,
    15.143,    5.31,
    15.164,    5.31,
    15.185,    5.29,
    15.206,    5.27,
    15.227,    5.26,
    15.248,    5.24,
    15.269,    5.24,
    15.290,    5.23,
    15.311,    5.23,
    15.332,    5.23,
    15.353,    5.24,
    15.374,    5.24,
    15.395,    5.25,
    15.416,    5.26,
    15.437,    5.27,
    15.458,    5.28,
    15.479,    5.31,
    15.500,    5.33,
    15.521,    5.36,
    15.542,    5.39,
    15.563,    5.44,
    15.584,    5.48,
    15.605,    5.52,
    15.626,    5.56,
    15.647,    5.58,
    15.668,    5.59,
    15.689,    5.58,
    15.710,    5.58,
    15.731,    5.56,
    15.752,    5.54,
    15.773,    5.51,
    15.794,    5.48,
    15.815,    5.46,
    15.836,    5.43,
    15.857,    5.41,
    15.878,    5.40,
    15.899,    5.38,
    15.920,    5.38,
    15.941,    5.37,
    15.962,    5.37,
    15.983,    5.36,
    16.004,    5.36,
    16.025,    5.35,
    16.046,    5.34,
    16.067,    5.32,
    16.088,    5.31,
    16.109,    5.30,
    16.130,    5.29,
    16.151,    5.28,
    16.172,    5.27,
    16.193,    5.26,
    16.214,    5.25,
    16.235,    5.24,
    16.256,    5.23,
    16.277,    5.20,
    16.298,    5.17,
    16.319,    5.14,
    16.340,    5.11,
    16.361,    5.06,
    16.382,    5.01,
    16.403,    4.96,
    16.424,    4.91,
    16.445,    4.85,
    16.466,    4.82,
    16.487,    4.81,
    16.508,    4.81,
    16.529,    4.80,
    16.550,    4.81,
    16.571,    4.83,
    16.592,    4.87,
    16.613,    4.91,
    16.634,    4.95,
    16.655,    4.99,
    16.676,    5.03,
    16.697,    5.06,
    16.718,    5.10,
    16.739,    5.13,
    16.760,    5.15,
    16.781,    5.17,
    16.802,    5.19,
    16.823,    5.20,
    16.844,    5.21,
    16.865,    5.22,
    16.886,    5.23,
    16.907,    5.24,
    16.928,    5.25,
    16.949,    5.26,
    16.970,    5.27,
    16.991,    5.27,
    17.012,    5.27,
    17.033,    5.28,
    17.054,    5.29,
    17.075,    5.31,
    17.096,    5.32,
    17.117,    5.34,
    17.138,    5.36,
    17.159,    5.37,
    17.180,    5.37,
    17.201,    5.37,
    17.222,    5.37,
    17.243,    5.38,
    17.264,    5.39,
    17.285,    5.39,
    17.306,    5.41,
    17.327,    5.42,
    17.348,    5.43,
    17.369,    5.44,
    17.390,    5.45,
    17.411,    5.45,
    17.432,    5.46,
    17.453,    5.46,
    17.474,    5.46,
    17.495,    5.47,
    17.516,    5.47,
    17.537,    5.47,
    17.558,    5.48,
    17.579,    5.50,
    17.600,    5.51,
    17.621,    5.52,
    17.642,    5.54,
    17.663,    5.54,
    17.684,    5.54,
    17.705,    5.54,
    17.726,    5.53,
    17.747,    5.52,
    17.768,    5.51,
    17.789,    5.50,
    17.810,    5.49,
    17.831,    5.48,
    17.852,    5.47,
    17.873,    5.46,
    17.894,    5.45,
    17.915,    5.44,
    17.936,    5.43,
